product_id;name(ru-ru);name(uk-ua);categories;main_category;sku;upc;ean;jan;isbn;mpn;location;quantity;model;manufacturer;image_name;shipping;price;points;date_added;date_modified;date_available;weight;weight_unit;length;width;height;length_unit;status;tax_class_id;seo_keyword;description(ru-ru);description(uk-ua);meta_title(ru-ru);meta_title(uk-ua);meta_description(ru-ru);meta_description(uk-ua);meta_h1(ru-ru);meta_h1(uk-ua);meta_keywords(ru-ru);meta_keywords(uk-ua);stock_status_id;store_ids;layout;related_ids;tags(ru-ru);tags(uk-ua);sort_order;subtract;minimum
28;6 фломастеров и распылитель, набор Blasta Boys, серии  Blasta, Renart; 6 фломастеров и распылитель, набор Blasta Boys, серии  Blasta, Renart;613;;;;;;;;;999;1;Renart;catalog/demo/5861t8124.jpg;yes;176;0;03-02-09 16:06;30-09-11 1:05;03-02-09;0;г;0;0;0;см;TRUE;0;6-flomasterov-i-raspyilitel-nabor-blasta-boys-serii-blasta-renart;<DIV><FONT face=Arial size=2><STRONG>Популярность этих фломастеров объясняется</STRONG> возможностью создания новых цветов за счет смешивания уже существующих. Вы просто соединяете два фломастера нужных цветов в специальном колпачке, а затем рисуете одним фломастером, цвет которого будет меняться у вас на глазах. Из 6 цветов в наборе можно получить 30 комбинаций. Этот набор дополнен специальным резиновым распылителем, в который нужно вставить фломастер. Сжимая распылитель и направляя струю воздуха на кончик фломастера, можно распылить краску и получить эффект аэрографа. </FONT></DIV><FONT face=Arial size=2><DIV><BR>Так же в комплекте есть трафареты, с помощью которых можно создать удивительные картинки.</DIV><DIV><BR>Следы от фломастеров смываются с одежды и различных поверхностей.<BR>&nbsp</FONT></DIV><DIV><FONT face=Arial size=2>Рекомендуемый возраст: 4 +.<BR>Размер упаковки: 22 x 21,5 x 3,5 см.<BR>Комплектация: 6 фломастеров, 4 трафарета, 1 распылитель.<BR>Артикул: BL7014UK(UA).</FONT></DIV><DIV><FONT face=Arial size=2></FONT>&nbsp</DIV>;;6 фломастеров и распылитель, набор Blasta Boys, серии  Blasta, Renart.   Купить недорого с доставкой в магазине Лиса-Алиса.;;6 фломастеров и распылитель, набор Blasta Boys, серии  Blasta, Renart.  Выбирайте детям лучшие наборы для творчества, краски, крандаши, фломастеры. Подарки для всей семьи ребенок сделает своими руками. Купить недорого с доставкой в магазине Лиса-Алиса.;;6 фломастеров и распылитель, набор Blasta Boys, серии  Blasta, Renart;;Наборы для творчества, краски, крандаши, фломастеры, кинетический песок, набор для лепки, рисование по номерам;Набори для творчості, фарби, крандаші, фломастери, кінетичний пісок, набір для ліплення, малювання за номерами;5;0;;;;;0;TRUE;1
29;Погремушка-зубогрызка Зверюшки, Canpol babies;Погремушка-зубогрызка Зверюшки, Canpol babies;226;;;;;;;;;999;2;Canpol babies;catalog/demo/20127t43469.jpg;yes;102;0;03-02-09 16:42;04-08-17 14:24;03-02-09;0;г;0;0;0;см;TRUE;0;pogremushka-zubogryizka-zveryushki-canpol-babies;"<P><STRONG>Погремушка-зубогрызка Зверюшки</STRONG> от Canpol babies - приятный и полезный подарок для любого ребенка. Предназначение прорезывателя - успокаивать боль в деснах во время прорезывания зубок. А погремушка отвлечет внимание ребенка.</P><P>Вы можете быть уверены в безопасности зубогрызки для вашего ребенка, так как она выполнена из нетоксичного мягкого пластика - в лучших традициях Canpol babies.</P><P align=center><STRONG>Погремушка-зубогрызка Зверюшки, Canpol babies</STRONG></P><TABLE width=""100%"" border=0><TBODY><TR><TD>Возраст:</TD><TD>+3 мес.</TD></TR><TR><TD width=""50%"" bgColor=#eeeeee>Комплектация:</TD><TD width=""50%"" bgColor=#eeeeee>прорезыватель.</TD></TR><TR><TD>Материал:</TD><TD>пластик, силикон.</TD></TR><TR><TD bgColor=#eeeeee>Артикул:</TD><TD bgColor=#eeeeee>2/438.</TD></TR></TBODY></TABLE>";Погремушка-зубогрызка Зверюшки, Canpol babies. Купить с доставкой в магазине Лиса Алиса;Погремушка-зубогрызка Зверюшки, Canpol babies. Купить с доставкой в магазине Лиса Алиса;;Погремушка-зубогрызка Зверюшки, Canpol babies .Выбирайте из огромного количества товаров для новорожденных известных мировых и украинских брендов. Покупайте недорого с доставкой.;;Погремушка-зубогрызка Зверюшки, Canpol babies;;Погремушки, прорезыватели, грызунки, подвески на коляску, виброподвески, обнимашки.;Брязкальця, прорізувачі, гризункі, підвіски на коляску, вібропідвіскі, обнімашкі.;5;0;;;;;0;TRUE;1
30;Вертолет Хелли с пусковым механизмом, Robocar Poli; Вертолет Хелли с пусковым механизмом, Robocar Poli;815;;;;;;;;;999;3;Robocar Poli;catalog/demo/30591t69972.jpg;yes;589;0;03-02-09 16:59;20-08-17 1:02;03-02-09;0;кг;0;0;0;см;TRUE;0;vertolet-helli-s-puskovyim-mehanizmom-robocar-poli;"<P>С такими вертолетами ваш ребенок точно не соскучится. Теперь во дворе будут царить радость и улыбки детей. Все ребята с улицы будут просить вашего малыша поиграть вместе с ним. Игрушка хорошо подойдет для игры на улице и дома. Хели - удобного размера, поэтому ребенок сможет брать ее повсюду с собой. </P><P>В комплект входят вертолет и пусковое устройство. </P><P>Для запуска вертолетов в комплекте есть специальная пусковая установка. Для того, чтобы вертолет поднялся в воздух, нужно вытянуть рычаг на себя. </P><P>Следите за тем, чтобы дети держали пусковую установку с вертолетами на вытянутой руке. </P><H3 align=center>Вертолет Хелли с пусковым механизмом, Robocar Poli</H3><TABLE width=""100%""><TBODY><TR bgColor=#eeeeee><TD width=""50%"">Рекомендуемый возраст:</TD><TD>от 3 года</TD></TR><TR><TD>Комплектация:</TD><TD>вертолет и пусковое устройство</TD></TR><TR bgColor=#eeeeee><TD>Артикул:</TD><TD>83315</TD></TR></TBODY></TABLE>"; Вертолет Хелли с пусковым механизмом, Robocar Poli. Купить с доставкой в магазине Лиса Алиса; Вертолет Хелли с пусковым механизмом, Robocar Poli. Купить с доставкой в магазине Лиса Алиса;; Вертолет Хелли с пусковым механизмом, Robocar Poli .Выбирайте безопасные развивающие игрушки для самых маленьких недорого с доставкой в магазине Лиса Алиса.;; Вертолет Хелли с пусковым механизмом, Robocar Poli;;Игрушки, развивающие игрушки, музыкальные игрушки, машинки, мягкие игрушки, куклы, каталки, сортеры, конструкторы, кубики.;Іграшки, розвиваючі іграшки, музичні іграшки, машинки, м'які іграшки, ляльки, каталки, сортери, конструктори, кубики.;5;0;;;;;0;TRUE;1
31;Гиппопотам-Жонглёр (звук), KIDDIELAND;Гиппопотам-Жонглёр (звук), KIDDIELAND;815;;;;;;;;;999;4;Kiddieland;catalog/demo/3127t3488.jpg;yes;807;0;03-02-09 17:00;09-08-17 1:18;03-02-09;0;кг;0;0;0;см;TRUE;0;gippopotam-zhonglYor-zvuk-kiddieland;"Интересный гиппопотам-жонглёр надолго завладеет вниманием Вашего любознательного малыша. Бегемот глотает шарики, а с молоточком этот процесс будет еще веселее. Животик у игрушки прозрачный и внутри виден проглоченный шар. А когда ребенок покрутит хвостик гиппопотама, шарик выскочит наружу. Забавные мелодии и мерцание огоньков во время веселой игры порадуют малыша. А еще ему станет понятней связь между причиной и следствием. <P align=center><B>Гиппопотам-Жонглёр (звук), KIDDIELAND</B></P><TABLE border=0 cellPadding=0 width=""100%"" align=left><TBODY><TR><TD bgColor=#eeeeee width=""50%"">Рекомендуемый возраст:</TD><TD bgColor=#eeeeee width=""50%"">от 12 месяцев.</TD></TR><TR><TD>Пол ребенка:</TD><TD width=""50%"">для мальчиков и девочек.</TD></TR><TR><TD bgColor=#eeeeee height=23>Комплектация:</TD><TD bgColor=#eeeeee width=""50%"">игрушка, 4 шарика, молоточек.</TD></TR><TR><TD>Материал:</TD><TD width=""50%"">пластик.</TD></TR><TR><TD bgColor=#eeeeee height=22>Размер игрушки:</TD><TD bgColor=#eeeeee>27 × 22 × 28 см.</TD></TR><TR><TD height=25>Питание:</TD><TD>2 батарейки АА (входят в комплект).</TD></TR><TR><TD bgColor=#eeeeee height=25>Артикул:</TD><TD bgColor=#eeeeee>049890.</TD></TR></TBODY></TABLE>";Гиппопотам-Жонглёр (звук), KIDDIELAND. Купить с доставкой в магазине Лиса Алиса;Гиппопотам-Жонглёр (звук), KIDDIELAND. Купить с доставкой в магазине Лиса Алиса;;Гиппопотам-Жонглёр (звук), KIDDIELAND .Выбирайте безопасные развивающие игрушки для самых маленьких недорого с доставкой в магазине Лиса Алиса.;;Гиппопотам-Жонглёр (звук), KIDDIELAND;;Игрушки, развивающие игрушки, музыкальные игрушки, машинки, мягкие игрушки, куклы, каталки, сортеры, конструкторы, кубики.;Іграшки, розвиваючі іграшки, музичні іграшки, машинки, м'які іграшки, ляльки, каталки, сортери, конструктори, кубики.;5;0;;;;;0;TRUE;1
32;Пазл 24 гигант Дорога, Djeco;Пазл 24 гигант Дорога, Djeco;783;;;;;;;;;999;5;Djeco;catalog/demo/7755t63305.jpg;yes;557;0;03-02-09 17:07;30-09-11 1:07;03-02-09;0;кг;0;0;0;см;TRUE;0;pazl-24-gigant-doroga-djeco;<H2 align=center>Пазл 24 гигант Дорога, Djeco</H2><DIV>Можно собирать дорогу в любом направление и в любой конфигурации. В наборе также есть комплект дорожных знаков, которые можно расставить на собранной дороге и покатать машинки. </DIV><DIV>Детали изготовлены из плотного картона, не мнутся.</DIV><DIV>Пазл подойдет детям от 3 лет.</DIV><DIV><BR>Размер упаковки: 25.5 х 25.5 х 8 см.</DIV>;;Пазл 24 гигант Дорога, Djeco.  Только качественные игрушки.Купить недорого с доставкой в магазине Лиса-Алиса.;;Пазл 24 гигант Дорога, Djeco.  Сборка пазлов - очень увлекательное занятие. Удовольствие для детей и взрослых. Только качественные игрушки.Купить недорого с доставкой в магазине Лиса-Алиса.;;Пазл 24 гигант Дорога, Djeco;;Пазлы, головоломка, 3D пазлы;Пазли, головоломка, 3D пазли;5;0;;;;;0;TRUE;1
33;Игровой набор - Самолёт (зеленый), свет, звук, Kiddieland; Игровой набор - Самолёт (зеленый), свет, звук, Kiddieland;815;;;;;;;;;999;6;Kiddieland;catalog/demo/28356t86445.jpg;yes;799;0;03-02-09 17:08;08-08-17 23:37;03-02-09;0;кг;0;0;0;мм;TRUE;0;igrovoy-nabor-samolYot-zelenyiy-svet-zvuk-kiddieland;"<P>Яркий самолет на колесах развеселит малыша приятными мелодиями и реалистичными звуками взлета и посадки. Вращение мягкого пропеллера создает разноцветные узоры из мигающих огоньков. В комплекте 4 съемных фигурки пилота и пассажиров. При установке фигурок на свои места звучат веселые мелодии.Питание: 3 батареи АА (входят в комплект). </P><P align=center><STRONG>&nbspИгровой набор - Самолёт (зеленый), свет, звук, Kiddieland</STRONG></P><TABLE cellPadding=0 width=""100%"" align=left border=0><TBODY><TR><TD width=""50%"" bgColor=#eeeeee>Рекомендуемый возраст:</TD><TD width=""50%"" bgColor=#eeeeee>от 18 месяцев.</TD></TR><TR><TD>Пол ребенка:</TD><TD width=""50%"">для мальчиков и девочек.</TD></TR><TR><TD bgColor=#eeeeee height=23>Комплектация:</TD><TD width=""50%"" bgColor=#eeeeee>Самолет, 4 фигурки пилота и пассажиров, 3 батарейки типа АА.</TD></TR><TR><TD>Материал:</TD><TD width=""50%"">пластик.</TD></TR><TR><TD bgColor=#eeeeee height=22>Размер игрушки:</TD><TD bgColor=#eeeeee>27 × 22 × 28 см.</TD></TR><TR><TD height=25>Питание:</TD><TD>3&nbspбатарейки АА (входят в комплект).</TD></TR><TR><TD bgColor=#eeeeee height=25>Артикул:</TD><TD bgColor=#eeeeee>039289-1.</TD></TR></TBODY></TABLE>"; Игровой набор - Самолёт (зеленый), свет, звук, Kiddieland. Купить с доставкой в магазине Лиса Алиса; Игровой набор - Самолёт (зеленый), свет, звук, Kiddieland. Купить с доставкой в магазине Лиса Алиса;; Игровой набор - Самолёт (зеленый), свет, звук, Kiddieland .Выбирайте безопасные развивающие игрушки для самых маленьких недорого с доставкой в магазине Лиса Алиса.;; Игровой набор - Самолёт (зеленый), свет, звук, Kiddieland;;Игрушки, развивающие игрушки, музыкальные игрушки, машинки, мягкие игрушки, куклы, каталки, сортеры, конструкторы, кубики.;Іграшки, розвиваючі іграшки, музичні іграшки, машинки, м'які іграшки, ляльки, каталки, сортери, конструктори, кубики.;5;0;;;;;0;TRUE;1
34;Игрушка Музыкальные фрукты, Сhicco; Игрушка Музыкальные фрукты, Сhicco;815;;;;;;;;;999;7;Chicco;catalog/demo/22971t56552.jpg;yes;499;0;03-02-09 18:07;08-08-17 23:38;03-02-09;0;кг;0;0;0;мм;TRUE;0;igrushka-muzyikalnyie-fruktyi-chicco;"<H2 align=center>&nbspИгрушка ""Музыкальные фрукты"", Сhicco</H2><DIV>Красочная электронная игрушка, которая развлечет малыша во время кормления. С помощью практичного крепежа-присоски её легко закрепить на любой ровной поверхности. Малыш вертит разноцветные фрукты, во время этого активируются веселые мелодии.</DIV><DIV>Игрушка помогает развивать координацию движений и музыкальные способности.</DIV><DIV>&nbsp</DIV><DIV>Возраст: от 9 месяцев.</DIV>"; Игрушка Музыкальные фрукты, Сhicco. Купить с доставкой в магазине Лиса Алиса; Игрушка Музыкальные фрукты, Сhicco. Купить с доставкой в магазине Лиса Алиса;; Игрушка Музыкальные фрукты, Сhicco .Выбирайте безопасные развивающие игрушки для самых маленьких недорого с доставкой в магазине Лиса Алиса.;; Игрушка Музыкальные фрукты, Сhicco;;Игрушки, развивающие игрушки, музыкальные игрушки, машинки, мягкие игрушки, куклы, каталки, сортеры, конструкторы, кубики.;Іграшки, розвиваючі іграшки, музичні іграшки, машинки, м'які іграшки, ляльки, каталки, сортери, конструктори, кубики.;5;0;;;;;0;TRUE;1
35;Книга-раскраска с наклейками Холодное сердце, Crayola; Книга-раскраска с наклейками Холодное сердце, Crayola;576;;;;;;;;;999;8;Crayola;catalog/demo/33061t81601.jpg;yes;178;0;03-02-09 18:08;30-09-11 1:06;03-02-09;0;кг;0;0;0;см;TRUE;0;kniga-raskraska-s-nakleykami-holodnoe-serdtse-crayola;"<P align=left>Мультфильм ""Холодное Серце"" создан по мотивам знаменитой сказки Андерсена ""Снежная Королева"". Она учит смелости, доброте и вере в побеждающую силу добра. Поэтому книга-раскраска с наклейками «Холодное сердце» обеспечит приятный досуг и отличное настроение вашим детям. Листая и разукрашивая каждую страничку книжки, ребенок отправится в виртуальное волшебное путешествие вместе с бесстрашными героями сказки: принцессой Анной, Кристофом и оленем Свеном. По пути они будут встречать симпатичного снеговичка Олафа, мистических троллей, покорять заснеженные вершины и ощущать магию ажурных снежинок. Альбом изготовлен из высококачественной бумаги и прочного картона. К нему прилагаются красивые наклейки с героями этой увлекательной истории. </P><P align=center><STRONG>&nbspКнига-раскраска с наклейками 'Холодное сердце, Crayola</STRONG></P><TABLE border=0 cellPadding=0 width=""100%""><TBODY><TR><TD bgColor=#eeeeee width=""50%"">Рекомендуемый возраст:</TD><TD bgColor=#eeeeee width=""50%"">от 3 лет.</TD></TR><TR><TD>Количество страниц:</TD><TD>32 ст.</TD></TR><TR><TD bgColor=#eeeeee>Комплектация:</TD><TD bgColor=#eeeeee>книга-раскраска, 50 наклеек</TD></TR><TR><TD>Артикул:</TD><TD>04-5864</TD></TR></TBODY></TABLE>";;Книга-раскраска с наклейками Холодное сердце, Crayola.  Купить недорого с доставкой в магазине Лиса-Алиса.;;"=CONCATENATE(AH9,"". "","" "",,AI9)";;Книга-раскраска с наклейками Холодное сердце, Crayola;;Краски, карандаши, фломастеры, мелки, раскраски, наборы для творчества;Фарби, олівці, фломастери, крейда, розмальовки, набори для творчості;5;0;;;;;0;TRUE;1
36;Поильник-непроливайка Друг медвежонок, розовый, Canpol babies;Поильник-непроливайка Друг медвежонок, розовый, Canpol babies;816;;;;;;;;;999;9;Canpol babies;catalog/demo/35285t86646.jpg;yes;127;0;03-02-09 18:09;03-08-17 3:48;03-02-09;0;кг;0;0;0;мм;TRUE;0;poilnik-neprolivayka-drug-medvezhonok-rozovyiy-canpol-babies;"<H3 align=center><BR>Поильник-непроливайка Друг медвежонок, розовый, Canpol babies</H3><P align=left>Кружка-непроливайка ""Друг медвежонок"" имеет уникальный, не проливной клапан, что позволяет ребенку пить самостоятельно, ничего не проливая. Твердый носик не раздражает нежные десна малыша, а удобные ручки позволяют легко брать и удерживать чашку в маленьких ладошках. Простая конструкция облегчает хранение кружки в чистоте.</P><P align=left>Кружечка снабжена мерной шкалой, имеет антискользящее дно и широкие ручки, удобные для малыша.<BR>Специальная конструкция носика насадки не допускает случайного вытекания жидкости из поильника.</P><TABLE border=0 cellPadding=0 width=""100%""><TBODY><TR><TD bgColor=#eeeeee width=""50%"">Рекомендуемый возраст:</TD><TD bgColor=#eeeeee width=""50%"">от 9 мес.</TD></TR><TR><TD>Объем:</TD><TD>180 мл</TD></TR><TR><TD bgColor=#eeeeee>Материал:</TD><TD bgColor=#eeeeee>&nbspбезопасная пластмасса</TD></TR><TR><TD>Артикул:</TD><TD>31/500</TD></TR></TBODY></TABLE>";Поильник-непроливайка Друг медвежонок, розовый, Canpol babies. Купить с доставкой в магазине Лиса Алиса;Поильник-непроливайка Друг медвежонок, розовый, Canpol babies. Купить с доставкой в магазине Лиса Алиса;;Поильник-непроливайка Друг медвежонок, розовый, Canpol babies. Выбирайте качественные и безопасные аксессуары для новорожденных и мам в магазине Лиса Алиса недорого и с доставкой.;;Поильник-непроливайка Друг медвежонок, розовый, Canpol babies;;Бутылочки, соски, пустышки, тарелочки, ложечки, ниблеры, поильники, молокоотсосы, чашечки, слюнявчики, термопоильники.;Пляшечки, соски, пустушки, тарілочки, ложечки, Ниблери, поїльники, молоковідсмоктувачі, чашечки, слюнявчики, термопоїльники.;5;0;;;;;0;TRUE;1
39;Поильник-непроливайка Коровка, бирюзовый, Canpol babies;Поильник-непроливайка Коровка, бирюзовый, Canpol babies;816;;;;;;;;;999;10;Canpol babies;catalog/demo/35291t86656.jpg;yes;151;0;03-02-09 21:07;03-08-17 3:49;04-02-09;0;кг;1;2;3;см;TRUE;0;poilnik-neprolivayka-korovka-biryuzovyiy-canpol-babies;"<H3 align=center><BR>Поильник-непроливайка Коровка, бирюзовый, Canpol babies</H3><P align=left>Поильник с эксклюзивным дизайном поможет Вашему малышу научиться пить самостоятельно. <BR>Он отличается уникальной технологией изготовления, позволяющей объединить пластик двух цветов.<BR>Нескользящее дно поильника делает его более устойчивым, а фигурные ручки позволяют ребенку легко удерживать его в своих маленьких ладошках.<BR>Непроливающий носик защищает содержимое поильника от проливания.<BR>Благодаря своей простой конструкции ( состоит из двух частей: емкость и крышка) поильник легко содержать в чистоте.</P><TABLE border=0 cellPadding=0 width=""100%""><TBODY><TR><TD bgColor=#eeeeee width=""50%"">Рекомендуемый возраст:</TD><TD bgColor=#eeeeee width=""50%"">от 9 мес.</TD></TR><TR><TD>Объем:</TD><TD>250 мл</TD></TR><TR><TD bgColor=#eeeeee>Материал:</TD><TD bgColor=#eeeeee>пластик</TD></TR><TR><TD>Артикул:</TD><TD>31/404</TD></TR></TBODY></TABLE>";Поильник-непроливайка Коровка, бирюзовый, Canpol babies. Купить с доставкой в магазине Лиса Алиса;Поильник-непроливайка Коровка, бирюзовый, Canpol babies. Купить с доставкой в магазине Лиса Алиса;;Поильник-непроливайка Коровка, бирюзовый, Canpol babies. Выбирайте качественные и безопасные аксессуары для новорожденных и мам в магазине Лиса Алиса недорого и с доставкой.;;Поильник-непроливайка Коровка, бирюзовый, Canpol babies;;Бутылочки, соски, пустышки, тарелочки, ложечки, ниблеры, поильники, молокоотсосы, чашечки, слюнявчики, термопоильники.;Пляшечки, соски, пустушки, тарілочки, ложечки, Ниблери, поїльники, молоковідсмоктувачі, чашечки, слюнявчики, термопоїльники.;5;0;;;;;0;TRUE;2
